브랜드,매체,순위,규칙,매칭값,카테고리,신뢰도,사용,메모
법무법인 태하,Naver,0,계정번호,01,형,1,O,네이버 1번 계정
법무법인 태하,Naver,0,계정번호,02,마,1,O,네이버 2번 계정
법무법인 태하,Naver,0,계정번호,03,이,1,O,네이버 3번 계정
법무법인 태하,Naver,0,계정번호,05,성,1,O,네이버 5번 계정 최승현닷컴
법무법인 태하,Naver,2,캠페인명,조세,조세,1,O,네이버 캠페인명 기준 별도 시트
법무법인 태하,Naver,2,캠페인명,행정,행정,1,O,네이버 캠페인명 기준 별도 시트
법무법인 태하,Naver,2,캠페인명,군형사,군형사,1,O,네이버 캠페인명 기준 별도 시트
법무법인 태하,Google SA,2,캠페인명,형사,형,1,O,구글 캠페인명 기준
법무법인 태하,Google SA,2,캠페인명,마약,마,1,O,구글 캠페인명 기준
법무법인 태하,Google SA,2,캠페인명,이혼,이,1,O,구글 캠페인명 기준
법무법인 태하,Google SA,2,캠페인명,성범죄,성범죄,1,O,구글 캠페인명 기준
법무법인 태하,Google SA,2,캠페인명,교통,교통,1,O,구글 캠페인명 기준
법무법인 태하,Google SA,2,캠페인명,재산범죄,형,1,O,구글 캠페인명 기준 - 형 시트로 합산
법무법인 태하,Google SA,2,캠페인명,조세,형,1,O,구글 캠페인명 기준 - 형 시트로 합산
법무법인 태하,Google SA,2,캠페인명,행정,형,1,O,구글 캠페인명 기준 - 형 시트로 합산
법무법인 태하,Google SA,2,캠페인명,군형사,형,1,O,구글 캠페인명 기준 - 형 시트로 합산
법무법인 오현,,1,지정 URL,ohcrime.com,형사,1,O,
법무법인 오현,,1,지정 URL,ohyunlaw.com,형사,1,O,
법무법인 오현,,1,지정 URL,ohdcrime.com,마약,1,O,
법무법인 오현,,1,지정 URL,ohyundruglaw.com,마약,1,O,
법무법인 오현,,1,지정 URL,ohehon.com,이혼,1,O,
법무법인 오현,,1,지정 URL,ohscrime.com,성범죄,1,O,
법무법인 오현,,1,지정 URL,ohyunlegal.com,성범죄,1,O,
법무법인 오현,,1,지정 URL,lawohyun.com,성범죄,1,O,
법무법인 오현,,1,지정 URL,법무법인오현.com,법무법인오현(허브),1,O,
법무법인 오현,,1,지정 URL,경제범죄전문변호사.com,경제범죄,1,O,
법무법인 오현,,1,지정 URL,사기죄전문변호사.com,경제범죄,1,O,
법무법인 오현,,1,지정 URL,사기죄전문변호사.kr,경제범죄,1,O,
법무법인 오현,,1,지정 URL,ohchusim.com,경제범죄,1,O,
법무법인 오현,,1,지정 URL,부동산전문변호사.com,부동산전문,1,O,
법무법인 오현,,1,지정 URL,교통사고전문변호사.kr,교통사고,1,O,
법무법인 오현,,1,지정 URL,학교폭력전문변호사.com,학교폭력,1,O,
법무법인 오현,,1,지정 URL,학폭변호사.kr,학교폭력,1,O,
법무법인 오현,,1,지정 URL,ohlabor.com,노무노사,1,O,
법무법인 오현,,1,지정 URL,명예훼손전문변호사.com,명예훼손,1,O,
법무법인 오현,,1,지정 URL,군형사전문변호사.com,군형사,1,O,
법무법인 오현,,1,지정 URL,개인회생.org,회생,1,O,
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_경제범죄,경제범죄,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_공통_허브,법무법인오현(허브),1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_교통,교통사고,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_노무노사,노무노사,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_마약,마약,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_명예훼손,명예훼손,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_부동산,부동산전문,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_성범죄,성범죄,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_이혼,이혼,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_학교폭력,학교폭력,1,O,오현 파워컨텐츠 캠페인명 기준
법무법인 오현,Naver,2,캠페인명,파워컨텐츠_형사,형사,1,O,오현 파워컨텐츠 캠페인명 기준
